SetID,SetType,Time,Chan,Status,Thr,Amp,RiseT,Dur,Eny,RMS,Counts,TRAI,CHits,PA0,PA1
1382,2,93.27222895,3,0,11.3694478249001,12.9936546570287,72.2,72.4,0.13393368850848,2.41982736413862,2,609,1,,
1554,2,104.5837099,3,0,11.3694478249001,12.4522523796525,87.1,87.25,0.279823596031383,2.41095702922609,2,685,1,,
2927,2,197.35510115,3,0,11.3694478249001,15.4299649052216,179.8,606.7,1.63569224753965,2.41273109620859,15,1292,1,,
4009,2,271.46937755,3,0,11.3694478249001,14.6178614891573,114.7,181.35,0.421272789701173,2.4145051631911,3,1769,1,,
4751,2,322.8151936,3,0,11.3694478249001,15.4299649052216,25.05,198.05,0.472928697446012,2.42337549810363,3,2098,1,,
4752,2,322.815525,3,0,11.3694478249001,34.1083434747003,188.55,596.35,3.03574526909534,2.42337549810363,56,2099,1,,
4753,2,322.81622465,3,0,11.3694478249001,20.3025854016073,52.5,239.55,0.683541642982523,2.42337549810363,4,2100,1,,
4948,2,336.2718705,3,0,11.3694478249001,17.5955740147264,116.05,252,0.79674613784795,2.41273109620859,8,2186,1,,
5240,2,354.91201915,3,0,11.3694478249001,17.8662751534145,83.6,455.1,1.50063592311979,2.42692363206864,24,2316,1,,
5830,2,392.80088695,3,0,11.3694478249001,14.8885626278454,19.6,175.5,0.414835952987352,2.43224583301616,4,2577,1,,
6030,2,405.1363536,3,0,11.3694478249001,17.3248728760383,157.05,405.75,0.991683216924755,2.42337549810363,10,2666,1,,
6359,2,428.8801911,3,0,11.3694478249001,18.6783785694787,123.5,276.15,0.799917657576709,2.4145051631911,7,2808,1,,
6360,2,428.8806653,3,0,11.3694478249001,14.3471603504692,0.15,9.4,0.203161925988909,2.4145051631911,3,2809,1,,
6361,2,428.88078115,3,0,11.3694478249001,14.6178614891573,74.15,140.55,0.355133999350237,2.4145051631911,3,2810,1,,
6391,2,430.77312145,3,0,11.3694478249001,15.1592637665335,91.05,160.05,0.409357606986381,2.4145051631911,2,2824,1,,
6631,2,444.571881,3,0,11.3694478249001,13.5350569344049,190.25,190.45,0.504344915979133,2.41273109620859,3,2933,1,,
7032,2,469.9745076,3,0,11.3694478249001,12.9936546570287,141.15,141.35,0.425238654944251,2.40740889526107,3,3116,1,,
7832,2,524.50470095,3,0,11.3694478249001,13.805758073093,0.2,49.3,0.281722990471527,2.41982736413862,2,3470,1,,
7908,2,530.2316228,3,0,11.3694478249001,78.7740313582365,7.6,881.2,12.1189865657533,2.42160143112112,148,3502,1,,
7909,2,530.23276435,3,0,11.3694478249001,13.2643557957168,0.1,19.25,0.181893398122113,2.42160143112112,2,3503,1,,
8226,2,553.2018084,3,0,11.3694478249001,16.512769459974,350.8,471.7,1.19219243925883,2.42514956508614,11,3642,1,,
8766,2,589.1700314,3,0,11.3694478249001,180.016257227585,4.25,1732.75,52.901441511292,2.4162792301736,314,3881,1,,
9023,2,606.9142627,3,0,11.3694478249001,21.9267922337359,9.1,197.9,1.15931650092449,2.42514956508614,22,3995,1,,
9241,2,622.52268945,3,0,11.3694478249001,25.1752058979931,2.55,16.5,0.257872106892128,2.41982736413862,3,4089,1,,
9324,2,628.2534177,3,0,11.3694478249001,157.818763855161,156.3,2444.95,100.143244512165,2.42514956508614,589,4128,1,,
9741,2,652.60481145,3,0,11.3694478249001,18.9490797081668,88.4,362.7,1.43525923547632,2.4162792301736,18,4317,1,,
9742,2,652.60531875,3,0,11.3694478249001,13.805758073093,23.7,107.05,0.386453489462794,2.4162792301736,2,4318,1,,
10603,2,704.69646565,3,0,11.3694478249001,18.6783785694787,2.4,26.65,0.253472429338646,2.4162792301736,3,4705,1,,
10728,2,713.66539795,3,0,11.3694478249001,71.4651006136578,64.25,1122.55,12.7903580147304,2.41273109620859,163,4760,1,,
10752,2,714.4971035,3,0,11.3694478249001,21.1146888176716,66.1,254.95,1.03228570424709,2.42337549810363,19,4773,1,,
10765,2,715.58091385,3,0,11.3694478249001,15.1592637665335,5.45,173.75,0.515310401473852,2.42160143112112,6,4779,1,,
10889,2,722.4384116,3,0,11.3694478249001,21.9267922337359,73,150.5,0.798223444634729,2.41273109620859,16,4835,1,,
10923,2,724.1521945,3,0,11.3694478249001,15.7006660439097,7.6,56,0.310084935846268,2.4145051631911,4,4851,1,,
10987,2,727.58837955,3,0,11.3694478249001,16.7834705986621,61.3,89.4,0.517004614415833,2.4145051631911,9,4881,1,,
11016,2,729.0738934,3,0,11.3694478249001,79.8568359129889,3.85,1429.4,21.7888036605258,2.41805329715611,250,4895,1,,
11017,2,729.07547895,3,0,11.3694478249001,15.4299649052216,129.4,161.2,0.466867049757405,2.41805329715611,3,4896,1,,
11018,2,729.07584035,3,0,11.3694478249001,13.5350569344049,74.05,99.4,0.246291076902917,2.41805329715611,3,4897,1,,
11412,2,751.5985684,3,0,11.3694478249001,15.7006660439097,1.3,161.75,0.425276760079624,2.42160143112112,6,5074,1,,
11422,2,752.04623,3,0,11.3694478249001,53.3281243215553,271.95,1820.2,18.2215884813941,2.42337549810363,303,5079,1,,
11423,2,752.04819005,3,0,11.3694478249001,15.7006660439097,146.5,146.75,0.433677476847298,2.42337549810363,4,5080,1,,
11424,2,752.04849035,3,0,11.3694478249001,13.805758073093,6.7,115.7,0.318649797812473,2.42337549810363,2,5081,1,,
11645,2,765.13773095,3,0,11.3694478249001,17.5955740147264,0.25,222.1,0.637686509307197,2.43401989999867,3,5182,1,,
